|0
Los Angeles Times Book Prize for Science and Technology|6
National Book Award for Contemporary Thought|6
Premi Llibreter de narrativa|6
Audie Award for Inspirational/Faith-Based Fiction|6
The Charles W. Follett Award|6
Edgar Award for Best Fact Crime|5
Deutscher Bücherpreis for Kinder- und Jugendbuch|5
Lambda Literary Award for Humor|5
The CWA Dagger of Daggers|5
John W. Campbell Memorial Award Nominee|5
Augustpriset for Fiction|5
Puddly Award for Nonfiction|5
Jewish Quarterly-Wingate Prize for Fiction|5
Américas Award|5
National Book Award Nominee for Children's Books|5
RITA Award by Romance Writers of America for Best Inspirational Romance|5
Kids Own Australian Literature Awards|5
Michael L. Printz Award|5
Indiana Young Readers Award|5
James Tiptree Jr. Award Nominee|5
Jane Addams Children's Book Award for Older Children|5
South Carolina Book Award for Children's Book Award|5
Puddly Award for Humor|5
Magnesia Litera for Translation|5
Locus Award for Best Anthology|5
Anthony Award Nominee for Best Critical Work|5
Premi Protagonista Jove for Categoria 15-16 anys|5
Borders Original Voices Award for Nonfiction|5
Boston Author's Club Award|5
William Hill Sports Book of the Year|5
Премія «Сковорода»|5
Massachusetts Book Award Nominee for Nonfiction|5
World Fantasy Award Nominee for Best Novella|5
Lambda Literary Award|5
Bad Sex in Fiction Award|5
Locus Award Nominee for Best Horror Novel|5
National Outdoor Book Award for Classic|5
Hugo Award Nominee for Best SF Novel|5
Analog Award Nominee for All-Time Best Book|5
Christy Award Nominee for Romance|5
August Derleth Award for Best Novel|5
Grande Prémio de Romance e Novela APE/IPLB|5
Will Eisner Comic Industry Awards for Best Continuing Series|5
Prix Tour-Apollo Award|5
Elizabeth Burr / Worzalla Award|5
Deutscher Jugendliteraturpreis Nominee for Kinderbuch|5
Batchelder Award|5
Premio San Clemente for Novela Castelá|5
Scott Moncrieff Prize for Geoffrey Strachan|5
Spur Award for Best Novel of the West|5
Kritikerprisen|5
Ruth and Sylvia Schwartz Children's Book Award|5
De Gyldne Laurbær|5
Locus Award for Best Related Non-fiction|5
Prix du Meilleur Livre Étranger for Essai|5
Nebula Award Nominee|5
Deutscher Jugendliteraturpreis Nominee|5
Boston Globe-Horn Book Award Nominee for Picture Book|5
Premio Planeta|5
Edgar Award for Best Paperback Original|5
جایزه ی نیوبری|5
Nordisk Raads Litteraturpris|5
Aspekte-Literaturpreis|5
Premio Nacional de Narrativa|5
Anthony Award Nominee for Best First Mystery|5
National Book Award Finalist for First Novel|5
Garden State Book Award for Fiction|5
Children's Book Council of Australia Award for Book of the Year: Older Readers|5
PRISM Award by Fantasy|5
Casey Award Nominee|5
British Book Award for Book of the Year|5
The Flume: New Hampshire Teen Reader's Choice Award|5
Colin Roderick Award|5
Samuel Johnson Prize for Non-Fiction Nominee|5
Gustavus Myers Outstanding Book Award|5
Grand Prix de Littérature Policière for Roman étranger|5
Thurber Prize for American Humor|5
Bram Stoker Award for Best Illustrated Narrative|5
Graoully d'Or for Roman étranger|5
Chapman Award for Shared Reading Nominee for Fiction|5
Missouri Gateway Readers Award for Adult|5
Gumshoe Award Nominee for Best Novel|5
Georgia Peach Book Award Nominee for Honor book|4
Prometheus Hall of Fame Award Nominee for|4
Goldener Lufti|4
Banta Award|4
HOMer Award for Best Novel|4
Western States Book Award|4
AKO / ECI Literatuurprijs|4
Prémio D. Diniz da Fundação da Casa de Mateus|4
RSL Encore Award|4
Premio Iberoamericano José Martí|4
Edgar Award for Best Young Adult|4
Premio Morosoli de Oro|4
National Book Award for Religion/Inspiration|4
Locus Award for Best Young Adult Novel|4
World Fantasy Award for Best Collection|4
ECPA Christian Book Award for Christian Book of the Year|4
One Book One San Diego|4
Colorado Book Award for Literary Fiction|4
Premi de la Crítica de narrativa catalana|4
Batchelder Award Nominee|4
The Society for Military History Distinguished Book Award|4
Ockham New Zealand Book Awards for Fiction|4
Coretta Scott King Book Award for Illustrator Honor|4
Best Cover Artist|4
Mishima Yukio Prize 三島由紀夫賞 Nominee|4
Canadian Library Association Young Adult Book Award|4
British Book Award Nominee|4
Commonwealth Writers' Prize for Best First Book in Caribbean and Canada|4
Premio Formentor de las Letras for International|4
British Fantasy Award Nominee for Anthology/Collection|4
Los Angeles Times Book Prize for History|4
California Book Award for Californiana|4
Kaien magazine New Writer Prize|4
Metų verstinė knyga|4
Romantic Novel of the Year|4
Book Sense Book of the Year Award for Adult|4
Grand Canyon Reader Award for Picture Book|4
Mississippi Institute of Arts and Letters Award for Fiction|4
SFX Award for Best Novel|4
Dolly Gray Children's Literature Award|4
Geffen Award for Best Translated Fantasy Book|4
Forward Prize for Best Collection|4
Young Australians' Best Book Award|4
Premio Campiello Nominee|4
National Book Award for Novel|4
Guardian First Book Award Nominee for Also Commended|4
Independent Foreign Fiction Prize Nominee for Longlist|4
Commonwealth Writers' Prize for Best Book in Africa|4
Hilary Weston Writers' Trust Prize for Nonfiction Nominee|4
RSL Encore Award Nominee|4
Arthur Ellis Award for Best Juvenile|4
Sidewise Award Nominee for Alternate History|4
Maryland Black-Eyed Susan Book Award for Picture Book|4
British Science Fiction Association Award Nominee for Best Novel of 1958|4
Premio Etnosur|4
SF Chronicle Award for Best Novel|4
Aurealis Award Nominee for Fantasy Novel|4
Lionel Gelber Prize|4
National Book Award for Children's Book|4
Keystone to Reading Book Award for Intermediate|4
Irma Black Award|4
Marlowe for Best Crime Novel|4
Massachusetts Book Award Nominee for Fiction|4
Library of Virginia Literary Award for Fiction|4
Oregon Book Award for Fiction|4
Booksellers' Best Award|4
Eugene M. Emme Astronautical Literature Award|4
Queensland Premier's Literary Awards for Fiction|4
Puddly Award for New Novel|4
Colorado Children's Book Award|4
Prix Femina|4
Tage der deutschsprachigen Literatur for 3sat-Stipendium|4
SCBWI Golden Kite Award|4
Lionel Trilling Book Award|4
Josette Frank Award|4
International Horror Guild Award Nominee for Best Novel|4
Bremer Literaturpreis for Förderpreis|4
British Book Award for Best Read of the Year|4
International Fantasy Award Nominee for Fiction|4
Book Sense Book of the Year Award for Rediscovery|4
Barry Award for Best British Crime Novel|4
Premio Ignotus for Novela|4
Prix du Festival d'Angoulême for Alph-art du meilleur album étranger|4
Tir na n-Og Award|4
PEN/Martha Albrand Award for First Nonfiction Writers|4
Chicago Publishers' Award|4
W.H. Smith's Mind-Boggling Books Award|4
Nihon University Department of Arts Prize|4
Lambda Literary Award Nominee for Gay Men's Nonfiction|4
Puddly Award for Short Stories|4
Premio Morosoli de Plata de Literatura|4
PEN Translation Prize for Gregory Rabassa|4
Whitbread Award for Poetry and Book of the Year|4
Puddly Award for Novel|4
Dutton Animal Book Award|3
Christianity Today Book Award for Book of the Year|3
Lambda Literary Award for Gay Men's Fiction|3
Premio Herralde de Novela|3
Preis der Gruppe 47|3
Audie Award for Multi-Voiced Performance|3
Orange Prize Nominee for Fiction|3
Flora Stieglitz Straus Award|3
RITA Award by Romance Writers of America Nominee for Short Contemporary Series Romance|3
Australian Booksellers Association Book of the Year|3
Boston Globe-Horn Book Award Nominee for Picture Book - Honor Book|3
Prix Masterton for Roman traduit|3
Chesley Award Nominee for Hardback cover|3
Minnesota Book Award for Older Children|3
National Cowboy Hall of Fame Western Heritage Award for Western Novel|3
Prix Jacques-Chardonne|3
Whitbread Award for Children's Book|3
Hugo Award Nominee for Best Novella|3
Αρώνειο Έπαθλο Ενώσεως Σμυρναίων|3
PEN Translation Prize for Ralph Manheim|3
O. Henry Award for 'A Silver Dish'|3
Schlegel-Tieck Prize for John E. Woods|3
The Macallan Silver Dagger for Fiction|3
Pulitzer Prize for Poetry|3
Deutscher Jugendliteraturpreis for Preis der Jugendjury|3
Schlegel-Tieck Prize for Breon Mitchell|3
RITA Award by Romance Writers of America for Best Long Historical Romance|3
Edgar Award for Best Critical/Biographical|3
Time Travel|3
Society of Midland Authors Award Nominee for Adult Fiction|3
Libris Literatuurprijs Nominee|3
Locus Award Nominee for All-Time Best SF Novel before 1990|3
Nero Award for excellence in the mystery genre|3
AKO / ECI Literatuurprijs Nominee|3
William James Book Award|3
Sunshine State Young Readers Award for Grades 6-8|3
Western Australian Premier's Book Award|3
Vlag en Wimpel Griffeljury|3
Asian/Pacific American Award for Literature for Children and Young Adult Honor|3
Minnesota Book Award for Fantasy & Science Fiction|3
OKRWA National Readers Choice Award for Inspirational|3
Aurealis Award Nominee for Best Young Adult Novel|3
Picture Books|3
Saltire Society Literary Award for Scottish First Book of the Year|3
Crossword Book Award for Fiction|3
Audie Award for Audiobook Adaptation|3
Silberner Lufti|3
Gaylactic Spectrum Award for Best Novel|3
CWA International Dagger Nominee|3
Shamus Award for Best PI Paperback Original|3
Locus Award Nominee|3
CWA Ellis Peters Historical Award|3
Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for  Best Translated Novel|3
HOLT Medallion by Virginia Romance Writers Nominee for Short Contemporary|3
Isaac Deutscher Memorial Prize|3
Arthur Ellis Award for Best Novel|3
Paranormal|3
Hugo Award Nominee for Best novel|3
RITA Award by Romance Writers of America Nominee for Inspirational Romance|3
Fantasy|3
"Locus Award Nominee for Best Collection and Best Novella for ""Labyrinth"""|3
Village Voice Book of the Year|3
Geoffrey Bilson Award for Historical Fiction for Young People Nominee|3
Harvey Awards for Best Graphic Album of Previously Published Material AND nominated for Special Award for Excellence in Presentation|3
RITA Award by Romance Writers of America Nominee for Single Title Contemporary Romance|3
New York Drama Critics' Circle Award for Best Play|3
Ruth and Sylvia Schwartz Children's Book Award for Adult Middle Reader|3
National Book Award Finalist for Children's Fiction|3
SF Chronicle Award Nominee for Best Novel|3
Clara Ingram Judson Memorial Award|3
Scott Moncrieff Prize for David Coward|3
Mark Lynton History Prize|3
National Book Award Finalist for Biography|3
Heart & Scroll Madcap Award for Historical|3
Prix Goncourt du premier roman|3
Nebula Award Nominee for Best Novella|3
CBC Canada Reads|3
RITA Award by Romance Writers of America for Best Single Title Historical Romance|3
Helen and Kurt Wolff Translator's Prize for Margot Bettauer Dembo|3
Favorite Books by Romance Writers of America Nominee|3
Femina - Vie Heureuse Prize|3
Bord Gáis Energy Irish Book Award for Hughes & Hughes Irish Novel of the Year|3
Beacon of Freedom Award|3
Hurston/Wright Legacy Award for Debut Fiction|3
Premi de la Crítica Serra d'Or for novel·la|3
OKRWA National Readers Choice Award for Futuristic|3
Harold Morton Landon Translation Award|3
Anthony Award for Best Short Story Collection|3
NMBA Richard Harris Award|3
HOLT Medallion by Virginia Romance Writers for Paranormal/Time Travel/Futuristic|3
HOLT Medallion by Virginia Romance Writers Nominee for Long Historical|3
Commonwealth Writers' Prize for Best First Book in South East Asia and Pacific|3
Lincoln Prize|3
Irma Black Award Nominee|3
Macavity Award Nominee for Best Critical/Biographical|3
Minnesota Book Award for Mystery & Detective|3
O. Henry Award for 'A Small|3
Premio Ignotus for Novela extranjera|3
Finlandia Prize Nominee|3
Gouden Ezelsoor|3
Vermont's Picture Book Awards: Red Clover|3
WILLA Literary Award Nominee for Contemporary Fiction|3
Canada-Japan Literary Award|3
Grand Canyon Reader Award for Grand Canyon Reader Award for Teen Book 1996|3
Mississippi Institute of Arts and Letters Award for Nonfiction|3
Hurston/Wright Legacy Award Nominee for Fiction|3
Hubert Evans Non-Fiction Prize Nominee|3
Seiun Award 星雲賞 Nominee for Best Japanese Novel|3
Prometheus Hall of Fame Award Nominee|3
Locus Award Nominee for Fantasy|3
Lincoln Award|3
Aurianne Award|3
Thomas Cook Travel Book Award|3
Ficção Científica ou Terror Publicado em Língua Portuguesa|3
Puddly Award for Mystery|3
Coretta Scott King Book Award for Illustrator|3
RITA Award by Romance Writers of America for Best Paranormal Romance|3
2012)|3
WILLA Literary Award for Contemporary Fiction|3
Branford Boase Award|3
National Book Award for Biography and Autobiography|3
Sunburst Award for Canadian Novel|3
T.S. Eliot Prize for Poetry|3
Aurealis Award for Young Adult Novel and Best Fantasy Novel|3
Agatha Award Nominee for Best Childrens Young Adult|3
Pura Belpré Award Nominee for Narrative|3
Grand Prix de l'Imaginaire Nominee for Roman jeunesse|3
Kurd-Laßwitz-Preis for Bester ausländischer SF-Roman|3
Minnesota Book Award for Popular Fiction|3
Premio Internacional de la Prensa|3
UBL Literary Award for Urdu Translation|3
Good Thing'|3
"Analog Award for Best Novella/Novelette for ""Labyrinth"""|3
Kurd-Laßwitz-Preis Nominee for Bestes ausländischer SF-Roman|3
Ditmar Award Nominee for Best Novel|3
Audie Award for Audio Drama|3
Valtion kirjallisuuspalkinto|3
Book Sense Book of the Year Award Nominee for Children|3
Salon Book Award|3
Los Angeles Times Book Prize for Science & Technology|3
New York Drama Critics' Circle Award Nominee for Best American Play|3
Dimar Award Nominee for Best International Long Fiction|3
Will Eisner Comic Industry Awards for Best Comics-Related Book|3
Private Eye Writers of America Best First Private Eye Novel Contest|3
Grand Prix RTL-Lire|3
Premio Ignotus|3
Hurston/Wright Legacy Award Nominee for Debut Fiction|3
Seiun Award 星雲賞 Nominee for Best Overseas Novel|3
Bokhandlerprisen|3
Anthony Award for Best True Crime|3
Premio Quinto Sol|3
Geoffrey Bilson Award for Historical Fiction for Young People|3
Golden Man Booker Prize Nominee|3
CNA Literary Award|3
Commonwealth Writers' Prize for Best First Book in South Asia and Europe|3
Lambda Literary Award for Science Fiction/Fantasy|3
New South Wales Premier's Literary Award for Ethel Turner Prize for Young People's Literature|3
WILLA Literary Award for Historical Fiction|3
National Book Award for Translation|3
Georgette Heyer Historical Novel Prize|3
The Other Award|3
Retro Hugo Award Nominee for Best Novella|3
"Analog Award Nominee for Best Novella/Novelette for ""The Mick of Time"""|3
Laurel Wreath Award|3
Multatuliprijs|3
Prix Littéraire de la Vocation|3
Agatha Award for Best Nonfiction|3
James Tait Black Memorial Prize for Biography|3
Kiriyama Prize Nominee for Nonfiction|3
James Tiptree Jr. Award Nominee for Classics|3
National Book Award Finalist for Contemporary Affairs|3
RITA Award by Romance Writers of America for Best Contemporary Single Title|3
Theakston Old Peculier Crime Novel of the Year Nominee|3
O. Henry Award for 'People Like That Are the Only People Here'|3
Hugo Award Nominee for Best Related Work|3
Laurence Olivier Award for Best New Play|3
Christy Award for Romance|2
OMAR Children's Book Award|2
ECPA Christian Book Award for Biography/Autobiography|2
Golden Duck Award for Middle Grades|2
RITA Award by Romance Writers of America for Best Contemporary Single Title & RWA's Favorite Book of 1997|2
Nikkei Asia Prizes|2
Hugo Award Nominee for Best Short story|2
Macavity Award Nominee for Best Novel|2
Schlegel-Tieck Prize for Joyce Crick|2
RITA Award by Romance Writers of America Nominee for Regency Romance|2
Prix Renaudot des lycéens|2
HOMer Award Nominee for Best Novel|2
John H. Dunning Prize in American History|2
"Inc."""|2
Hugo Award Nominee for Best Related Non-Fiction Book|2
Sheila A. Egoff Children’s Literature Prize|2
Prix des Deux-Magots|2
Casey Award|2
W.Y. Boyd Literary Award for Excellence in Military Fiction|2
"Agatha Award for Best Short Story for ""Deborah's Judgment"" by Margaret Maron"|2
Puddly Award for History|2
ECPA Christian Book Award|2
Best Graphic Album|2
Society of Midland Authors Award for Children's Fiction|2
Audie Award for Humor|2
National Book Award for Non-Fiction|2
"Child Magazine Best Book of the Year
...more
Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8"|2
Ockham New Zealand Book Awards for Deutz Medal for Fiction or Poetry|2
SF Chronicle Award|2
National Book Award Finalist for History and Biography|2
Lambda Literary Award for Small Press|2
"Hugo Award for Best Novelette for ""Gold"""|2
NCTE Orbis Pictus Honor Book|2
CWA Gold Dagger Award|2
Charlotte Zolotow Award Nominee for Highly Commended Title|2
RITA Award by Romance Writers of America Nominee for Traditional Series Romance|2
Vondel Prize for Ina Rilke|2
Book Sense Book of the Year Award Nominee for Children's Illustrated|2
"Retro Hugo Award Nominee for Best Novella for ""Magic"|2
Locus Award for Novella|2
Benjamin Barondess Award|2
Society of Midland Authors Award for Adult Nonfiction|2
Best Single Issue|2
Alabama Author Award for Young Adult|2
Kentucky Bluegrass Award for K-3|2
POPULAR-The Star Readers’ Choice Awards Nominee for Fiction|2
Society of Midland Authors Award for Children's Nonfiction|2
W.A. Young Readers Book Award|2
Best Graphic Album–Reprint|2
Mary Shelley Award for Outstanding Fictional Work|2
Early Readers|2
Giải thưởng Hội Nhà Văn Việt Nam|2
HOMer Award for Best Science Fiction Novel|2
Prometheus Hall of Fame Award Nominee for Best SF Novel|2
Premio Tomasi di Lampedusa|2
Premio Ignotus for Mejor novela extranjera|2
Spur Award for Best Juvenile Fiction|2
Best Artist or Penciller|2
RITA Award by Romance Writers of America Nominee for Best First Book|2
RITA Award by Romance Writers of America for Best First Book|2
Orwell Prize Nominee|2
California Book Award for Young Adult|2
Bill Duthie Booksellers’ Choice Award Nominee|2
Lambda Literary Award for Young Adult / Children's Book|2
"Locus Award Nominee for Best Novelette for ""Gold"""|2
Buckeye Children's Book Award for K-2|2
National Book Critics Circle Award Nominee for Poetry|2
Society of Midland Authors Award Nominee for Adult Nonfiction|2
James Fenimore Cooper Prize|2
Phantom's Choice Book Award|2
Friedrich-Glauser-Preis Nominee for Kriminalroman|2
Gumshoe Award for Best First Novel|2
BTBA Best Translated Book Award Nominee for Fiction shortlist|2
Prêmio Machado de Assis|2
Prêmio Jabuti|2
Blue Peter Book Award for Best Book to Keep Forever|2
SF Chronicle Award for Best Short Story|2
Locus Award Nominee for Best Anthology/Collection|2
Rogers Writers' Trust Fiction Prize|2
New South Wales Premier's Literary Award for Script Writing Award|2
Vuoden johtolanka|2
SFBC Award Nominee for Book of the Year|2
Futuristic and Paranormal Special Interest Chapter of RWA for Best Light Paranormal|2
RUBY Award by Romance Writers of Australia|2
Prix Rosny-Aîné|2
Lauer Lufti|2
Prometheus Award Nominee for Best Libertarian Science Fiction Novel|2
Canadian Booksellers Association Libris Award for Non‐Fiction Book|2
Child Magazine Best Book of the Year|2
"Locus Award Nominee for Best Novelette for ""Have You Heard the One ... ?"""|2
Bronzener Lufti|2
Australian/Vogel's Literary Award|2
RITA Award by Romance Writers of America Nominee for Best Romance of 1998|2
Virginia Reader's Choice for High|2
Saltire Society Literary Award for Scottish Book of the Year|2
Le Blanc Award Nominee for Melhor Romance Estrangeiro de Fantasia|2
Irish Times Irish Literature Prize for Fiction|2
Southern Arts Literature Prize|2
Prix de l’Amitié franco-arabe|2
PEN Open Book Award|2
Pulitzer Prize for Letters Award|2
International Horror Guild Award for Nonfiction|2
Lambda Literary Award for Biography/Autobiography|2
RITA Award by Romance Writers of America for Best Short Historical|2
National Book Award for Arts and Letters|2
Premio Italia Nominee for Best International Novel|2
OKRWA National Readers Choice Award for Short Historical|2
Fairlight Talking Book of the Year NSW for Best Book|2
The Oliver C. Cox Anti-Racism Award|2
John Esten Cooke Fiction Award|2
Locus Award for Best Horror Novel|2
RITA Award by Romance Writers of America Nominee for Long Contemporary Romance|2
Tomás Rivera Mexican American Children’s Book Award|2
Premio de traducción literaria Valle Inclán for Anne McLean|2
Audie Award for Best Male Narrator|2
Lambda Literary Award for Lesbian Science Fiction/Fantasy/Horror|2
Premio Ignotus Nominee for Mejor cuento extranjero|2
Colby Award|2
John Steptoe New Talent Award for Author|2
Prix Renaudot|2
Michael Shaara Prize for Civil War Fiction|2
Tasmania Pacific Region Prize|2
"Longitude 77° 00' 13"" W"""|2
Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ Nominee for Γαλλόφωνη Λογοτεχνία|2
OLA Evergreen Award|2
RBL Romantica Hughie Award for Best Parnormal|2
J. Gordon Coogler Award for the worst book of the year|2
Premi Lletra d'Or|2
HOLT Medallion by Virginia Romance Writers Nominee for Mainstream/Single Title|2
Lambda Literary Award for Science Fiction/Fantasy/Horror|2
Stephen Crane Award for First Fiction|2
American Indian Youth Literature Award for Best Middle School Book|2
WILLA Literary Award Nominee for Historical Fiction|2
PEN Translation Prize for Tim Wilkinson|2
Carl Sandburg Award|2
Warner Aspect First Novel Contest|2
Premi Joan Crexells de narrativa|2
"Analog Award Nominee for Best Novella/Novelette for ""Have You Heard the One ... ?"""|2
Kääntäjien valtionpalkinto|2
ECPA Christian Book Award Nominee for Fiction|2
Cena Akademie SFFH for Kniha roku|2
Prix du Festival d'Angoulême Nominee for Alph-art du meilleur scenario|2
Susanne K. Langer Award for Outstanding Scholarship in the Ecology of Symbolic Form|2
National Book Award Finalist for First Work of Fiction|2
Futuristic and Paranormal Special Interest Chapter of RWA|2
Prix RTL grand public|2
|2
Massachusetts Book Award for Fiction|2
Lambda Literary Award for Gay Men's Nonfiction|2
Pulitzer Prize Nominee for History|2
Ditmar Award Nominee for Short Fiction|2
Minnesota Book Award for Mystery|2
The Children's Book Award from the Vienna House of Literature|2
National Book Award for Children's Picture Books|2
Mountains and Plains Booksellers Association Regional Book Award for Best Novel|2
Mitten Award Nominee for Honor Book|2
da antiga Prefeitura do Distrito Federal|2
William Saroyan International Prize for Writing for Fiction|2
McNally Robinson Book of the Year Award|2
National Book Award for Children's Fiction|2
Philip K. Dick Award for Special Citation|2
American Bar Association Silver Gavel Award for Books|2
New York Drama Critics' Circle Award for Best  Play|2
Kiriyama Prize|2
Gumshoe Award Nominee for Best Mystery|2
National Book Council Banjo Award for Non-Fiction|2
Seiun Award 星雲賞 for Best Nonfiction|2
Boardman Tasker Prize for Mountain Literature|2
Lambda Literary Award Nominee for Lesbian Fiction|2
Prix des Libraires|2
Tähtifantasia Award|2
Sydney Taylor Book Award|2
Prêmio Jabuti for Romance|2
BMO Winterset Award|2
Jewish Quarterly-Wingate Prize|2
Tidningen Vi:s litteraturpris|2
Peter Pan Award|2
Prix France-Liban de l'ADELF|2
Will Eisner Comic Industry Awards for Best Publication Design|2
"da Câmara Brasileira do Livro
...less"|2
Κρατικό Βραβείο Λογοτεχνικής Μετάφρασης for Μετάφραση Έργου Ξένης Λογοτεχνίας στην Ελληνική Γλώσσα|2
"Analog Award Nominee for Best Novella/Novelette for ""Gold"""|2
Seiun Award 星雲賞 Nominee for Best Translated Novel|2
Prêmio Carmem Dolores Barbosa|2
Locus Award for Best Art of Illustrated Book|2
Will Eisner Comic Industry Awards for Best Serialized Story|2
Nebula Award Nominee for Best Short story|2
Bremer Literaturpreis|2
Shaughnessy Cohen Prize for Political Writing|2
PEN Translation Prize for Margaret Jull Costa|2
Prix européen de l’essai Charles Veillon|2
Soaring Eagle Book Award for 7-9|2
Pura Belpré Award for Narrative|2
American Revolution Round Table Award|2
Boekenleeuw|2
Askew's Children's Book Award|2
Premio Rapallo|2
Aurealis Award for Fantasy Novel and Young Adult Novel|2
National Book Award Finalist for Autobiography/BiographyHardcover|2
Texas Bluebonnet Award Nominee|2
Minnesota Book Award for Young People’s Fiction|2
Vlag en Wimpel Penseeljury|2
NCTE Orbis Pictus Award|2
Nestlé Smarties Book Prize for 9–11 Years|2
National Book Award Finalist for Mystery|2
Barry Award for Best Paperback Original|2
Premi Ciutat de Barcelona|2
Prêmio Paula Brito|2
Los Angeles Times Book Prize for Best First Mystery Novel|2
Spur Award for Best Nonfiction Historical|2
Helen and Kurt Wolff Translator's Prize for Anthea Bell|2
Harvey Awards Nominee for Best Graphic Album of Previously Published Material|2
National Book Award for Poetry|2
Oregon Book Award for Nonfiction|2
Mark Twain Award|2
Premio San Clemente for Novela Galega|2
Best Writer/Artist|2
Tanizaki Prize 谷崎潤一郎賞|2
Audie Award for Best Unabridged Fiction|2
Sahitya Akademi Award|2
Audie Award for Biography/Memoir|2
Rocky Mountain Book Award|2
Kiriyama Prize for Nonfiction|2
Drama Desk Award for Outstanding New Play|2
Kate Greenaway Medal|2
Nebula Award Nominee for Best Novelette|2
Minnesota Book Award for Novel & Short Story|2
SCBWI Golden Kite Award for Fiction|2
Koret Jewish Book Award for Biography|2
Puddly Award for Memoir|2
Schlegel-Tieck Prize Nominee for Patrick Bridgwater|2
Locus Award Nominee for Best Short Story|2
Orange Prize Nominee for Longlist|2
"Prêmio Luísa Cláudia de Sousa
...more
do PEN Clube do Brasil"|2
BTBA Best Translated Book Award Nominee for Fiction Longlist|2
Missouri Gateway Readers Award for Young Adult|2
Prix du Festival d'Angoulême for Alfred du meilleur album étranger|2
Best Artist|2
Best Limited Series|2
Spur Award for Best Juvenile|2
Stonewall Book Award Nominee for Non-Fiction|2
Dirk Martensprijs|2
Listen-Up Award|2
HOLT Medallion by Virginia Romance Writers Nominee for Mainstream Single-Title|2
Locus Award Nominee for Best Short Fiction|2
Samuel Johnson Prize for Non-Fiction|2
Sir Peter Kent Conservation Book Prize|2
Sách Hay|2
Massachusetts Book Award Nominee for Young Adult Literature|2
Great Lakes Book Award Nominee for Nonfiction Shortlist|2
Commonwealth Writers' Prize for Best Book|2
Will Eisner Comic Industry Awards for Best Publication for Teens/Tweens|2
Ambassador Book Award for Autobiography|2
Spur Award for Best Nonfiction|2
Autobiography or Literary Study|2
Prix Aurora Award for Best Long-Form Work in English|2
Whitbread Award for First Novel and Book of the Year|2
CWA Gold Dagger Award for Non Fiction|2
Ned Kelly Award Nominee for Best Novel|2
John Florio Prize for Martin McLaughlin|2
"Premio Ignotus Nominee for Mejor cuento extranjero for ""Gold"""|2
RITA Award by Romance Writers of America Nominee for First Book|2
Ruth Hadden Memorial Award|2
Prix Méditerranée|2
Premi Protagonista Jove Nominee for Categoria 13-14 anys|2
J. Anthony Lukas Book Prize|2
RBC Taylor Prize|2
William Saroyan International Prize for Writing Nominee for Fiction|2
HOLT Medallion by Virginia Romance Writers|2
Premio de la Crítica de narrativa gallega / Premio da Crítica de narrativa galega|2
Ezra Jack Keats Book Award for New Writer|2
Grand Prix de l'Imaginaire for Traduction|2
Commonwealth Writers' Prize for South East Asia and Pacific|2
Beehive Book Award for Young Adult Fiction Book|2
Premio Grinzane Cavour Nominee for Narrativa Italiana|2
"the Lamps of His Mouth"""|2
Wirral Paperback of the Year|2
Hugo Award Nominee for Best Nonfiction Book|2
Beehive Book Award for Young Adult Book|2
SF Chronicle Award Nominee for Best SF Novel|2
O. Henry Award for 'Lily'|2
Commonwealth Writers' Prize Nominee for Best Book in  South Asia and Europe|2
Locus Award Nominee for Best First Novel and Best Horror Novel|2
The Louis J. Battan Author's Award for Adult|2
Geffen Award for Best Translated YA Book|2
Prêmio Jabuti for Produção editorial|2
Evening Standard Award for Best Play of the Year|2
Fraunces Tavern Museum Book Award|2
California Book Award for First Novel|2
Society of Midland Authors Award for Nonfiction|2
New South Wales Premier's Literary Award for Douglas Stewart Prize for Non-Fiction|2
Northern California Book Awards|2
Children’s Peace Literature Award|2
HOLT Medallion by Virginia Romance Writers Nominee for Traditional|2
Goethe Prize|2
Corine Internationaler Buchpreis for Weltbild Leserpreis|2
برنده جایزه آریلیس|2
Goodreads Choice Award Nominee for Fiction|2
CWA Ellis Peters Award Nominee for Historical Crime Fiction|2
جایزه ادبی مهرگان for مهرگان علم|2
Book Sense Book of the Year Award Nominee|2
Australian Multicultural Children's BOTY Award|2
Lambda Literary Award Nominee for Science Fiction/Fantasy|2
Hugo Award for Best Short Story for “Kirinyaga”|2
Best New Series|2
Nebula Award for Best Novelette|2
PEN/Martha Albrand Award for the Art of the Memoir|2
Buckeye Children's Book Award for 3-5|2
British Columbia National Award for Canadian Non-Fiction Nominee|1
HOLT Medallion by Virginia Romance Writers for Paranormal|1
Audie Award for Poetry|1
Kentucky Bluegrass Award for 3-5|1
Christy Award Nominee for International Historical|1
Will Eisner Comic Industry Awards Nominee for Best Reality-Based Work|1
Arkansas Diamond Primary Book Award|1
One Book One San Diego for Children's Companion Title|1
Mythopoeic Fantasy Award for Children’s Literature|1
Retailer's Choice Award for Inspirational Fiction Novel|1
Children's Book Council of Australia Award Nominee for Picture Book of the Year - Highly Commended|1
"Hugo Award Nominee for Best Novella for ""Seventy-Two Letters"""|1
O. Henry Award for 'What You Pawn I Will Redeem'|1
Desert Rose Golden Quill Award for Best First Book|1
