|0
Edgar Award for Best First Novel|28
Premio Grinzane Cavour Nominee for Narrativa Straniera|28
CWA Silver Dagger for Fiction|28
Mikael Agricola -palkinto|27
Philip K. Dick Award Nominee|27
Miles Franklin Literary Award|27
California Young Readers Medal for Young Adult|27
Janet Heidinger Kafka Prize|27
PEN/Hemingway Foundation Award|27
Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction|27
Audie Award for Children's Titles Ages 8-12|26
PEN Translation Prize for William Weaver|26
Premio San Clemente for Novela Estranxeira|26
CWA New Blood Dagger|26
Commonwealth Writers' Prize for Best Book in Caribbean and Canada|25
Compton Crook Award Nominee|25
British Book Award|25
Washington State Sasquatch Award|25
William Dean Howells Medal|25
World Fantasy Award Nominee for Best Collection|25
American Booksellers Book Of The Year  Award for Children|25
Somerset Maugham Award|25
Los Angeles Times Book Prize for Biography|25
Commonwealth Writers' Prize for Best Book Overall|25
Lefty Award Nominee|24
CLA Book of the Year for Children Award|24
Pulitzer Prize for Drama|24
Golden Archer Award for Middle/Junior High|24
Maryland Black-Eyed Susan Book Award for Grade 6-9|24
North Dakota Children's Choice Award|24
CWA Best Ever Nominee for Crime Novel|24
Prix Goncourt|23
Sunshine State Young Readers Award|23
British Book Award for Children's Book of the Year|23
British Science Fiction Association Award for Novel|23
Pennsylvania Young Readers' Choice Award for Grades 6-8|23
Phoenix Award|23
California Young Readers Medal for Middle School/Junior High|23
Guardian First Book Award Nominee|23
Literaturpreis der Jury der jungen Leser for Kinderbuch|23
National Book Critics Circle Award for General Nonfiction|23
National Book Award Finalist for Young People's Literature|22
National Book Award for Nonfiction|22
Independent Foreign Fiction Prize Nominee for Shortlist|22
Rogers Writers' Trust Fiction Prize Nominee|22
North East Teenage Book Award Nominee|22
Blue Hen Book Award for Chapter Book|22
Caldecott Medal Nominee|22
John W. Campbell Memorial Award for Best Science Fiction Novel|22
Missouri Gateway Readers Award Nominee|22
Edgar Award Nominee for Best Paperback Original|22
Balrog Award for Best Novel|21
Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel|21
Nebula Award Nominee for Novel|21
Arthur C. Clarke Award|21
California Young Readers Medal Nominee for Primary|21
New York Drama Critics' Circle Award for Best American Play|21
Prêmio Jabuti Nominee for Adaptação|21
Whitbread Award for First Novel|20
Prix Jean-Monnet de littérature européenne du département de Charente|20
Agatha Award for Best First Novel|20
Scotiabank Giller Prize|20
Winifred Holtby Memorial Prize|20
Grand Canyon Reader Award|20
